algo,trial,metric,value_us
RR,1,avg_ctx_overhead,546.935
RR,2,avg_ctx_overhead,545.362
RR,3,avg_ctx_overhead,538.571
RR,4,avg_ctx_overhead,441.563
RR,5,avg_ctx_overhead,517.316
RR,6,avg_ctx_overhead,519.071
RR,7,avg_ctx_overhead,533.788
RR,8,avg_ctx_overhead,537.267
RR,9,avg_ctx_overhead,511.191
RR,10,avg_ctx_overhead,526.142
FCFS,1,avg_ctx_gap,3342.50
FCFS,2,avg_ctx_gap,5085.00
FCFS,3,avg_ctx_gap,4100.25
FCFS,4,avg_ctx_gap,4053.00
FCFS,5,avg_ctx_gap,4709.75
FCFS,6,avg_ctx_gap,5690.50
FCFS,7,avg_ctx_gap,3403.75
FCFS,8,avg_ctx_gap,4420.25
FCFS,9,avg_ctx_gap,4280.50
FCFS,10,avg_ctx_gap,3922.00
SJF,1,avg_ctx_gap,3101.75
SJF,2,avg_ctx_gap,3881.75
SJF,3,avg_ctx_gap,3876.25
SJF,4,avg_ctx_gap,3912.25
SJF,5,avg_ctx_gap,4744.00
SJF,6,avg_ctx_gap,3607.00
SJF,7,avg_ctx_gap,3937.00
SJF,8,avg_ctx_gap,3250.25
SJF,9,avg_ctx_gap,3610.25
SJF,10,avg_ctx_gap,4363.25
MLFQ,1,avg_rr_ctx_gap,2.25
MLFQ,1,avg_fcfs_ctx_gap,4723.33
MLFQ,2,avg_rr_ctx_gap,961.50
MLFQ,2,avg_fcfs_ctx_gap,4824.33
MLFQ,3,avg_rr_ctx_gap,2961.00
MLFQ,3,avg_fcfs_ctx_gap,4371.00
MLFQ,4,avg_rr_ctx_gap,1962.50
MLFQ,4,avg_fcfs_ctx_gap,5411.67
MLFQ,5,avg_rr_ctx_gap,1959.25
MLFQ,5,avg_fcfs_ctx_gap,4567.33
MLFQ,6,avg_rr_ctx_gap,964.75
MLFQ,6,avg_fcfs_ctx_gap,5658.00
MLFQ,7,avg_rr_ctx_gap,2962.25
MLFQ,7,avg_fcfs_ctx_gap,4851.33
MLFQ,8,avg_rr_ctx_gap,965.75
MLFQ,8,avg_fcfs_ctx_gap,4984.33
MLFQ,9,avg_rr_ctx_gap,1975.00
MLFQ,9,avg_fcfs_ctx_gap,4419.00
MLFQ,10,avg_rr_ctx_gap,965.25
MLFQ,10,avg_fcfs_ctx_gap,4582.67
